log_id,user_id,product_id,session_id,action,timestamp,is_valid_action,user_name,email,signup_date,duplicate_email_flag,invalid_email_flag,product_name,category,price
1104,401,474,sess_1,purchase,2025-11-02 12:06:07.183414,True,Melissa Roberts,alexglass@example.org,invalid_date,0,0,Them,Sports,315.84
7164,804,779,sess_1,add_to_cart,2025-11-08 17:27:57.218542,True,Dr. Kimberly Morris,wross@example.com,2025-06-09,0,0,Out,Home,446.5
2763,1005,416,sess_10,add_to_cart,2025-08-16 16:36:22.186925,True,John Martinez,cconley@example.org,2024-06-17,0,0,Hundred,Books,16.18
1358,843,909,sess_10,add_to_cart,2025-11-09 01:33:11.183414,True,Michelle Maldonado,jacob22@example.com,2024-04-15,0,0,Score,Home,48.48
4117,760,987,sess_10,purchase,2025-12-26 06:42:45.199974,True,Kathleen Moore,vwilliams@example.org,2025-07-29,0,0,Sport,Electronics,64.99
12740,613,69,sess_10,purchase,2026-04-12 09:44:38.242937,True,Brian Mejia,invalid_email,2022-11-15,1,1,Able,Sports,303.7
8527,810,284,sess_100,view,2026-03-01 09:18:39.224321,True,Jeffrey Craig,invalid_email,2026-02-16,1,1,Subject,Home,247.02
1185,629,1034,sess_1000,add_to_cart,2025-09-25 08:41:31.183414,True,Tyler Anderson,andrescarpenter@example.net,2025-07-24,0,0,Ago,Electronics,336.25
8315,777,593,sess_1000,view,2026-03-08 21:56:36.224321,True,Annette Liu,xfoster@example.com,2025-06-20,0,0,Blood,Clothing,196.83
10066,31,636,sess_1002,add_to_cart,2025-09-03 21:33:33.228610,True,Melissa Schmidt,sherry32@example.com,2024-08-28,0,0,Painting,Sports,266.26
12474,214,243,sess_1002,view,2025-11-02 16:35:07.240934,True,Jessica Harris,invalid_email,2021-11-05,1,1,East,Electronics,320.15
13512,242,29,sess_1002,add_to_cart,2025-11-04 17:45:43.245946,True,Sabrina Williamson,bestdevin@example.net,2022-01-07,0,0,Entire,Clothing,135.67
11535,649,239,sess_1004,purchase,2025-11-10 06:04:51.237113,True,Nathan Williams,tylerperez@example.org,invalid_date,0,0,Wide,Home,367.62
9325,789,768,sess_1004,add_to_cart,2025-12-04 04:02:42.228610,True,Kathleen Nielsen,debbiehunt@example.org,2024-12-23,0,0,Kind,Electronics,474.3
343,164,409,sess_1005,view,2025-07-04 20:22:35.178635,True,Kim Smith,taylormadison@example.com,2025-09-12,0,0,Off,Sports,392.87
10144,433,269,sess_1005,add_to_cart,2025-11-14 03:26:02.228610,True,Timothy Cameron,charlesstephenson@example.org,2021-08-10,0,0,Position,Books,205.28
6281,1039,876,sess_1005,add_to_cart,2025-12-28 20:51:03.214026,True,Laura Williams,sbarnett@example.net,2022-10-16,0,0,Whole,Home,321.3
453,1009,5,sess_1005,view,2026-02-13 05:01:43.181409,True,Paul Lopez,adavis@example.net,2024-10-27,0,0,Another,Clothing,274.47
13503,224,700,sess_1007,purchase,2025-07-29 00:47:16.245946,True,Paula Hardy,xjohnson@example.com,2024-06-10,0,0,Us,Sports,0.0
7748,308,676,sess_1008,add_to_cart,2026-02-16 01:52:00.222317,True,Darryl Johnson,mcleanjohn@example.com,invalid_date,0,0,Whatever,Sports,311.26
5557,887,448,sess_1009,purchase,2025-09-14 18:16:47.212022,True,Anthony Smith,stoneelizabeth@example.com,2024-08-31,0,0,Month,Electronics,15.93
9542,314,786,sess_1009,purchase,2025-09-30 06:57:01.228610,True,James Harris,ikennedy@example.org,2022-10-28,0,0,Major,Home,304.71
12336,227,414,sess_1009,purchase,2026-03-06 01:42:10.240934,True,Charles Henry,gmills@example.com,2024-03-03,0,0,Offer,Books,317.8
12403,1011,455,sess_1009,view,2026-04-03 10:54:08.240934,True,James Richmond,vdougherty@example.net,2022-07-03,0,0,Fish,Books,148.17
10694,392,196,sess_101,view,2025-07-14 01:02:31.228610,True,Brent Gutierrez,jasonbrown@example.org,2023-02-21,0,0,Minute,Clothing,0.0
10946,68,58,sess_101,add_to_cart,2026-03-23 16:54:01.228610,True,Andre Vang,invalid_email,2024-02-09,1,1,Painting,Clothing,424.03
505,755,342,sess_1010,add_to_cart,2025-12-12 15:07:37.181409,True,Steven Yates,alyssa85@example.net,2026-03-22,0,0,Task,Books,442.0
13698,640,130,sess_1011,view,2026-02-20 23:33:43.247953,True,Stephanie Franco,invalid_email,2021-06-23,1,1,Situation,Home,235.33
12691,391,638,sess_1012,purchase,2025-07-05 15:33:00.242937,True,Jodi Wells,reyespeter@example.com,2021-08-10,0,0,Home,Sports,0.0
3174,221,694,sess_1012,view,2025-09-02 22:54:05.186925,True,Beverly Lambert,christinajackson@example.com,2021-10-03,0,0,Remain,Clothing,0.0
14199,1092,445,sess_1012,purchase,2026-04-16 19:05:30.249957,True,Robert Sanford,jamesward@example.com,2023-10-19,0,0,Deal,Home,493.61
6966,587,929,sess_1012,add_to_cart,2026-05-30 07:46:33.216529,True,Kelly Rasmussen,trantim@example.org,2021-11-05,0,0,Another,Home,143.71
13983,9,1014,sess_1014,view,2025-09-09 04:12:18.247953,True,Amy Cline,invalid_email,2025-08-13,1,1,Defense,Clothing,135.07
10562,119,222,sess_1014,purchase,2025-09-20 02:22:13.228610,True,Marc Morgan,gmoore@example.com,2023-11-07,0,0,Organization,Sports,95.74
6894,992,109,sess_1014,purchase,2025-11-07 20:42:12.216529,True,Randy Beard,williamcarpenter@example.com,2023-08-15,0,0,Case,Clothing,207.12
1971,183,916,sess_1015,view,2025-07-04 10:23:42.186925,True,William Tran,odickerson@example.net,2024-01-14,0,0,Listen,Sports,5.8
4248,70,119,sess_1016,add_to_cart,2026-02-14 10:28:10.199974,True,Stephanie Lee,patricktyler@example.com,2025-02-21,0,0,Responsibility,Books,288.07
8749,1014,847,sess_1017,add_to_cart,2025-09-02 14:19:12.226324,True,Alan Duncan,millereric@example.com,2024-01-30,0,0,Defense,Clothing,458.39
11317,895,438,sess_1017,view,2025-10-23 09:38:10.237113,True,Lisa Ferguson,robert77@example.net,2023-09-06,0,0,Modern,Books,99.39
9573,126,680,sess_1017,add_to_cart,2025-11-28 06:36:38.228610,True,Matthew Romero,joe44@example.net,2022-10-25,0,0,Particular,Sports,70.63
5629,991,868,sess_1018,view,2025-11-09 14:47:25.212022,True,UNKNOWN,kevinwright@example.com,2021-10-24,0,0,State,Books,313.76
11336,569,608,sess_1018,purchase,2026-02-25 00:41:27.237113,True,Margaret Wagner,xevans@example.org,2025-03-06,0,0,Moment,Electronics,184.7
12848,357,275,sess_1019,add_to_cart,2025-07-03 06:34:16.242937,True,Tracy Proctor,marywright@example.com,2022-08-25,0,0,Fast,Sports,435.78
9670,179,336,sess_1019,purchase,2025-09-22 08:10:01.228610,True,Bradley Wilson,nortonantonio@example.com,2025-10-19,0,0,Voice,Home,100.39
10747,799,131,sess_1019,purchase,2025-10-06 20:36:41.228610,True,Christina Hill,fparker@example.net,2024-04-09,0,0,,Clothing,418.64
4645,99,1018,sess_102,view,2025-09-16 07:42:23.207677,True,Cheryl Christian,craigphillip@example.com,2021-06-12,0,0,Clear,Home,361.49
7179,178,629,sess_102,view,2025-10-16 04:39:39.218542,True,Laura Barnes,jgrimes@example.com,2023-05-03,0,0,Last,Books,148.78
3867,661,567,sess_102,view,2025-12-11 00:03:02.197951,True,Samantha Wilson,pobrien@example.net,2022-08-28,0,0,Writer,Home,169.09
7259,632,974,sess_102,view,2026-01-29 10:26:13.219548,True,Lacey Martin,rodriguezcatherine@example.com,2024-08-19,0,0,Fast,Clothing,124.47
10626,730,249,sess_102,purchase,2026-05-09 11:22:25.228610,True,UNKNOWN,tiffanyacosta@example.org,2025-08-06,0,0,Those,Clothing,230.56
6904,996,160,sess_102,add_to_cart,2026-05-30 03:13:38.216529,True,UNKNOWN,jonathan77@example.net,2024-07-11,0,0,Interest,Home,272.99
7236,1098,195,sess_1020,purchase,2025-12-24 08:14:51.219548,True,Alison Lopez,wmitchell@example.net,2025-03-04,0,0,Mission,Books,7.52
4250,607,535,sess_1021,add_to_cart,2025-11-24 01:16:44.199974,True,Jeffrey Fisher,georgejames@example.net,2023-12-03,0,0,Across,Electronics,309.96
7670,604,315,sess_1021,add_to_cart,2026-01-10 07:56:56.222317,True,Tracy West,michael46@example.com,2024-09-26,0,0,Management,Home,256.38
4324,161,993,sess_1022,purchase,2025-06-21 01:18:09.202536,True,Paul Walker,brookehayes@example.net,2024-10-12,0,0,Age,Electronics,197.73
4091,412,643,sess_1022,view,2025-11-18 17:24:47.199974,True,Donna Lara,kimberlymyers@example.com,2025-07-22,0,0,Wrong,Electronics,481.43
11459,111,862,sess_1022,add_to_cart,2026-03-15 07:14:17.237113,True,Brian Spencer,georgerichard@example.net,invalid_date,0,0,Large,Books,294.0
1888,450,11,sess_1023,purchase,2025-11-05 15:04:48.186925,True,James Arnold,melanie75@example.org,2021-08-10,0,0,Professor,Clothing,0.0
7447,479,605,sess_1023,add_to_cart,2025-11-19 15:07:54.219548,True,Kelsey Calderon,baileykimberly@example.org,2025-05-22,0,0,Mr,Sports,411.32
6253,855,1046,sess_1023,view,2026-01-04 18:52:26.214026,True,William Johnson,traceybaker@example.net,2025-03-08,0,0,Something,Sports,44.91
248,417,206,sess_1025,add_to_cart,2025-11-14 13:55:19.178635,True,Shawn Duncan,tammyellis@example.org,2023-11-22,0,0,Nearly,Sports,68.88
754,151,989,sess_1025,add_to_cart,2026-04-29 17:18:34.181409,True,Robert Hall,kingchristopher@example.net,2024-07-23,0,0,Him,Home,216.72
9973,1050,179,sess_1026,purchase,2025-12-13 22:22:54.228610,True,Sharon Patel,kdouglas@example.org,2024-12-01,0,0,Might,Sports,336.36
14702,179,389,sess_1026,purchase,2026-04-20 18:34:56.251960,True,Bradley Wilson,nortonantonio@example.com,2025-10-19,0,0,Usually,Sports,487.69
7828,106,282,sess_1026,purchase,2026-04-28 18:06:21.222317,True,David Stein,maysmaria@example.com,2025-08-09,0,0,Join,Clothing,423.44
3923,300,53,sess_1028,purchase,2026-03-25 05:22:23.197951,True,Eric Reeves,invalid_email,2025-12-16,1,1,Toward,Clothing,355.84
548,265,825,sess_1029,view,2025-06-23 14:11:01.181409,True,Tanya Clark,brooksjessica@example.net,2025-04-18,0,0,Race,Electronics,202.03
3125,339,1039,sess_1029,view,2025-12-11 01:03:23.186925,True,Kathleen Leon,invalid_email,2024-10-09,1,1,Magazine,Sports,130.91
11802,636,580,sess_1029,view,2025-12-29 14:56:45.238931,True,Thomas Hartman,whitekaren@example.com,2024-03-14,0,0,Attorney,Books,253.52
14345,1022,261,sess_103,purchase,2026-01-29 19:52:46.249957,True,Matthew Owens,invalid_email,2023-04-27,1,1,Benefit,Home,0.0
2075,298,354,sess_1030,view,2025-10-31 21:40:11.186925,True,Michael Flowers,omonroe@example.com,2023-08-30,0,0,Conference,Clothing,105.47
5286,732,1074,sess_1031,purchase,2025-07-15 05:24:41.211509,True,Heather Roberson,ashleygilmore@example.org,2022-03-13,0,0,Stop,Books,156.61
2229,357,104,sess_1031,view,2025-07-16 08:28:51.186925,True,Tracy Proctor,marywright@example.com,2022-08-25,0,0,Color,Clothing,175.05
3029,602,887,sess_1031,add_to_cart,2026-01-07 06:53:42.186925,True,Diane Ingram,david48@example.net,2022-10-24,0,0,Partner,Home,487.14
5443,526,621,sess_1031,purchase,2026-03-15 13:39:56.212022,True,Cory Pittman,invalid_email,2023-12-23,1,1,Age,Home,65.24
5229,602,170,sess_1032,view,2025-09-18 18:13:15.209185,True,Diane Ingram,david48@example.net,2022-10-24,0,0,Other,Clothing,87.39
13849,887,167,sess_1033,purchase,2025-07-30 11:48:29.247953,True,Anthony Smith,stoneelizabeth@example.com,2024-08-31,0,0,Explain,Books,180.18
14587,106,274,sess_1033,purchase,2025-12-22 16:50:29.251960,True,David Stein,maysmaria@example.com,2025-08-09,0,0,Red,Books,348.17
3352,320,967,sess_1034,add_to_cart,2025-09-27 04:28:42.186925,True,Sandra Middleton,ymurphy@example.org,2024-01-25,0,0,Raise,Electronics,334.51
767,402,360,sess_1034,view,2025-12-30 15:07:02.181409,True,Aaron Decker,bellkimberly@example.net,2025-12-09,0,0,Difficult,Books,101.33
432,816,133,sess_1034,purchase,2026-04-20 21:04:34.178635,True,Courtney Olson,crystal52@example.net,2025-02-22,0,0,Country,Books,152.29
8024,700,66,sess_1035,add_to_cart,2025-09-26 08:13:44.222317,True,Douglas Lowery,alvinmoore@example.net,2022-09-05,0,0,Charge,Books,497.16
4515,444,531,sess_1035,purchase,2026-01-03 14:04:02.203543,True,Elizabeth Stark,huntdylan@example.net,2024-11-25,0,0,Major,Home,51.11
14874,3,306,sess_1035,view,2026-02-07 13:02:06.253968,True,Cheryl Gomez,invalid_email,2023-04-13,1,1,Hot,Sports,38.45
12665,224,281,sess_1036,add_to_cart,2025-08-14 18:41:39.242937,True,Paula Hardy,xjohnson@example.com,2024-06-10,0,0,Listen,Sports,253.47
6779,864,772,sess_1037,purchase,2026-06-02 14:30:25.216529,True,Melody Burton,invalid_email,2024-08-03,1,1,Look,Home,151.49
4179,824,70,sess_1038,view,2026-01-19 22:49:03.199974,True,Laura Bates,invalid_email,2023-05-25,1,1,Yeah,Books,411.2
5458,101,651,sess_1038,view,2026-05-29 04:12:09.212022,True,UNKNOWN,ihubbard@example.com,2023-06-13,0,0,Including,Clothing,263.05
6302,202,854,sess_1039,view,2025-06-28 08:09:33.214026,True,Victor Sullivan,jlane@example.com,2024-03-16,0,0,Customer,Electronics,170.87
5989,697,968,sess_1039,view,2025-09-08 09:06:22.214026,True,Alexa Bright,jenniferhartman@example.com,2026-04-23,0,0,Charge,Electronics,26.05
9826,363,1038,sess_1039,purchase,2025-09-27 04:53:04.228610,True,Amber Burton,cynthiaross@example.org,2026-03-22,0,0,Stay,Home,439.03
3393,135,684,sess_1039,view,2026-05-03 16:49:02.186925,True,Joseph Smith,znelson@example.com,2026-02-22,0,0,Research,Electronics,390.44
9855,915,804,sess_104,purchase,2025-09-01 13:47:31.228610,True,Steven Mcgee,shawaaron@example.net,2026-04-25,0,0,Difficult,Sports,111.53
6970,254,519,sess_104,purchase,2025-11-07 09:10:13.216529,True,Joe Valenzuela,jjennings@example.net,2026-05-06,0,0,Front,Clothing,0.0
9287,709,500,sess_1040,view,2025-10-09 07:28:10.228610,True,UNKNOWN,zcunningham@example.com,2022-04-24,0,0,Employee,Sports,127.91
4115,98,771,sess_1040,add_to_cart,2026-02-26 10:11:45.199974,True,Tamara Soto,vmurphy@example.net,2024-04-02,0,0,Yard,Books,274.8
3522,55,1053,sess_1041,view,2025-10-17 20:19:27.186925,True,Joy Watson,ronald98@example.com,2024-08-11,0,0,Box,Home,311.5
14107,790,325,sess_1041,add_to_cart,2026-01-09 21:28:50.249957,True,Teresa Butler,kgreen@example.com,2023-10-31,0,0,Himself,Books,0.0
7951,1006,564,sess_1041,add_to_cart,2026-04-07 02:17:34.222317,True,Katherine Fitzpatrick,heathergardner@example.org,2022-04-14,0,0,Technology,Clothing,323.51
7358,326,398,sess_1041,view,2026-04-26 23:36:21.219548,True,Joshua Carter,james55@example.net,2026-04-28,0,0,Anything,Home,0.0
11913,792,852,sess_1042,view,2025-10-27 08:00:08.238931,True,James Robinson,allenfrank@example.net,2025-01-31,0,0,One,Home,320.19
12692,347,538,sess_1042,purchase,2026-03-14 04:46:01.242937,True,Katherine Olson,greenbrian@example.com,2023-05-25,0,0,Hard,Clothing,426.52
11784,824,435,sess_1042,purchase,2026-05-15 22:45:28.238931,True,Laura Bates,invalid_email,2023-05-25,1,1,Hundred,Books,388.63
7312,52,172,sess_1043,purchase,2025-08-04 04:25:55.219548,True,Paul Delacruz,invalid_email,2022-11-13,1,1,Trial,Books,477.41
9133,985,847,sess_1043,purchase,2025-09-28 10:06:49.228610,True,Jamie Peterson,xday@example.com,2021-12-16,0,0,Defense,Clothing,458.39
